소비자 물가지수
94.47
94.807
94.464
94.76
95.306
95.648
96.251
94.861
94.734
94.369
95.073
95.515
95.205
94.595
95.795
95.521
94.149
95.585
95.929
95.412
95.571
96.18
96.297
97.205
95.783
95.624
95.11
95.613
96.171
95.718
95.486
96.452
96.405
95.366
97.494
97.639
97.358
97.383
98.191
97.894
99.006
97.645
97.545
97.013
97.524
98.036
97.492
97.508
98.24
97.952
97.553
98.799
99.343
99.047
98.96
99.345
99.412
100.026
99.086
98.994
98.557
99.122
99.437
99.158
98.971
99.703
99.304
99.252
99.382
99.824
99.71
99.222
99.564
99.622
99.705
99.466
99.396
99.384
99.487
99.343
99.467
99.3
99.875
99.385
99.574
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
100
